,lat,lon,city,clouds,country,date,humidity,max_temp,wind_sp
87,-38.0,-57.56,mar del plata,40,AR,1579921113,88,68.0,5.82
88,52.63,29.73,svetlogorsk,100,BY,1579921283,97,34.2,13.2
89,72.79,-56.15,upernavik,100,GL,1579921274,95,-11.85,5.57
90,65.28,-126.83,norman wells,90,CA,1579921268,70,-5.8,3.36
91,33.08,-16.33,camacha,40,PT,1579921305,63,60.8,13.87
92,49.68,-83.67,hearst,100,CA,1579921643,97,25.18,3.71
93,70.63,147.92,chokurdakh,9,RU,1579921262,95,-35.55,2.53
94,39.05,-27.98,lagoa,100,PT,1579921261,81,61.0,19.91
95,-13.7,-76.22,pisco,90,PE,1579921260,73,77.0,8.05
96,8.94,-13.11,kasiri,17,SL,1579921643,95,72.01,2.15
97,66.04,-17.34,husavik,90,IS,1579921134,74,28.4,28.86
98,50.23,-63.6,havre-saint-pierre,1,CA,1579921644,76,-4.0,2.24
99,43.32,145.57,nemuro,40,JP,1579921280,44,21.2,12.75
100,70.47,-68.59,clyde river,1,CA,1579921252,74,-25.6,2.24
101,-20.02,148.23,bowen,90,AU,1579921644,88,86.0,5.82
102,-37.62,-73.65,lebu,0,CL,1579921251,63,58.15,8.08
103,22.55,114.07,shenzhen,40,CN,1579920840,73,75.0,8.05
104,37.45,116.29,dezhou,100,CN,1579921644,41,37.9,4.65
105,64.38,-173.3,provideniya,51,RU,1579921269,95,-8.07,4.74
106,28.66,-17.92,los llanos de aridane,0,ES,1579921042,55,60.8,5.82
107,5.41,100.34,georgetown,20,MY,1579921074,51,86.0,8.05
108,-25.24,130.99,yulara,0,AU,1579921255,15,91.4,10.29
109,25.77,73.33,pali,0,IN,1579921644,31,58.75,6.38
110,63.75,-68.51,iqaluit,5,CA,1579921248,66,-29.0,6.13
111,-20.73,139.5,mount isa,75,AU,1579921392,58,87.8,12.75
112,-46.28,169.85,kaitangata,60,NZ,1579921275,90,58.19,15.26
113,-21.2,-175.2,vaini,40,TO,1579921254,74,84.2,13.87
114,-19.06,-169.92,alofi,90,NU,1579921259,94,80.6,8.05
